"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL74680";"";"None";"321.77";"0";"4.21";"2";"Clc1cccc(Nc2nccc(-n3cnc4ccccc43)n2)c1";"IC50";"'='";"680.0";"nM";"6.17";"";"";"UO_0000065";"19.17";"0.37";"1.96";"11.09";"0";"CHEMBL660785";"Inhibitory concentration against cyclin-dependent kinase 2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1147565";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";"";"";"0.68"
"CHEMBL318999";"";"None";"406.47";"0";"2.81";"9e";"Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nc(OCC2CCCCC2)c1N=O";"IC50";"'='";"1.1";"nM";"8.96";"";"";"UO_0000065";"22.04";"0.44";"6.15";"5.51";"0";"CHEMBL661127";"Inhibition of Cyclin-dependent kinase 2 (CDK2) at 12.5 uM ATP";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136212";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"None";"";"";"";"0.0011"
"CHEMBL72510";"";"None";"380.43";"0";"2.49";"1e";"Cc1nc2ccccn2c1-c1ccnc(Nc2ccc(S(N)(=O)=O)cc2)n1";"IC50";"'='";"38.0";"nM";"7.42";"";"";"UO_0000065";"19.50";"0.38";"4.93";"6.44";"0";"CHEMBL660785";"Inhibitory concentration against cyclin-dependent kinase 2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1147565";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";"";"";"0.038"
"CHEMBL48362";"";"None";"430.48";"0";"2.17";"7";"CN1CCC(c2c(O)cc(O)c3c2O/C(=C\c2ccc(S(N)(=O)=O)cc2)C3=O)CC1";"IC50";"'='";"30.0";"nM";"7.52";"";"";"UO_0000065";"17.48";"0.34";"5.35";"5.78";"0";"CHEMBL658935";"Inhibition of cyclin A activated Cyclin-dependent kinase 2 (CDK2)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135924";"1";"Scientific Literature";"J Med Chem";"2002";"None";"";"";"";"0.03"
"CHEMBL270054";"GW280670X";"None";"350.79";"0";"1.76";"C16";"NS(=O)(=O)c1ccc(N/N=C2\C(=O)Nc3ccc(Cl)cc32)cc1";"IC50";"'='";"43.0";"nM";"7.37";"";"";"UO_0000065";"21.00";"0.44";"5.61";"6.48";"1";"CHEMBL661123";"Evaluated for inhibition of human cyclin dependent kinase 2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1137075";"1";"Scientific Literature";"J Med Chem";"2004";"None";"";"";"";"43.0"
"CHEMBL1964245";"";"None";"386.46";"0";"2.61";"83";"CNS(=O)(=O)c1ccc(N/C=C2\C(=O)Nc3ccc4ncsc4c32)cc1";"IC50";"'='";"5.6";"nM";"8.25";"";"";"UO_0000065";"21.35";"0.43";"5.64";"8.24";"0";"CHEMBL661125";"Inhibitory activity against human cyclin-dependent kinase 2 (CDK2)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134300";"1";"Scientific Literature";"J Med Chem";"2001";"None";"";"";"";"5.6"
"CHEMBL3099764";"";"None";"478.55";"0";"4.28";"15";"CCCCCCc1ccc2nc(C(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)OC)cc(C(=O)O)c2c1";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3101303";"Inhibition of CDK2 (unknown origin)-cyclin A interaction preincubated for 30 mins at room temperature followed by incubation at 40 degC for 30 mins by SDS-PAGE analysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3098110";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2014";"None";"";"";"";"10.0"
"CHEMBL3099763";"";"None";"530.96";"1";"4.98";"14";"COC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)c1cc(C(=O)O)c2cc(/C=C/c3ccc(Cl)cc3)ccc2n1";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3101303";"Inhibition of CDK2 (unknown origin)-cyclin A interaction preincubated for 30 mins at room temperature followed by incubation at 40 degC for 30 mins by SDS-PAGE analysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3098110";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2014";"None";"";"";"";"10.0"
"CHEMBL3955667";"";"None";"504.64";"1";"2.86";"BDBM253911";"C[C@H](O)CN1CCN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)C[C@@H]1C";"IC50";"'='";"616.0";"nM";"6.21";"";"441684";"UO_0000065";"12.31";"0.23";"3.35";"5.57";"0";"CHEMBL3889222";"Caliper Assay: Selected compounds disclosed herein were tested in CDK4/cyclinD1, CDK6/CycD3 CDK2/CycA and CDK2/cyclinE kinase assays by Nanosyn (Santa Clara, Calif.) to determine their inhibitory effect on these CDKs. The assays were performed using microfluidic kinase detection technology (Caliper Assay Platform). The compounds were tested in 12-point dose-response format in singlicate at Km for ATP. Phosphoacceptor substrate peptide concentration used was 1 μM for all assays and Staurosporine was used as the reference compound for all assays. Specifics of each assay are as described below:CDK2/CyclinA: Enzyme concentration: 0.2 nM; ATP concentration: 50 μM; Incubation time: 3 hr.CDK2/CyclinE: Enzyme concentration: 0.28 nM; ATP concentration: 100 μM; Incubation time: 1 hr.CDK4/CyclinD1: Enzyme concentration: 1 nM; ATP concentration: 200 μM; Incubation time: 10 hr.CDK6/CyclinD3: Enzyme concentration: 1 nM; ATP concentration: 300 μM; Incubation time: 3 hr.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886995";"37";"BindingDB Patent Bioactivity Data";"";"2016";"None";"";"";"";"616.0"
"CHEMBL1809115";"";"None";"343.41";"0";"4.38";"21";"N#CCc1cccc(-c2c[nH]c(=O)c3cc(-c4ccncc4)sc23)c1";"IC50";"'='";"3981.07";"nM";"5.40";"";"";"UO_0000065";"15.72";"0.29";"1.02";"7.77";"0";"CHEMBL1810766";"Inhibition of recombinant CDK2 expressed in baculovirus using [gamma-32P]-ATP by 33-P leadseeker assay";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1806471";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";"";"";"5.4"
