"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"	"Standard Text Value"	"Value"
"CHEMBL433539"	""	"None"	"445.37"	"0"	"4.29"	"14a"	"FC(F)(F)c1cc(COC[C@@H](NCc2nn[nH]n2)c2ccccc2)cc(C(F)(F)F)c1"	"IC50"	"'='"	"23.0"	"nM"	"7.64"	""	""	"UO_0000065"	"17.15"	"0.34"	"3.35"	"10.09"	"0"	"CHEMBL751718"	"Affinity towards hNK1 receptor by displacement of [125I]- Substance P from hNK1 receptor expressed in CHO cells"	"B"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"CHO"	"None"	""	""	""	"CHEMBL249"	"Neurokinin 1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1130974"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"1998"	"CHEMBL3308072"	""	""	""	"23.0"
"CHEMBL99055"	""	"None"	"500.44"	"2"	"5.06"	"12"	"O=c1[nH]nc(CN2CCC[C@H](OCc3cc(C(F)(F)F)cc(C(F)(F)F)c3)[C@@H]2c2ccccc2)[nH]1"	"IC50"	"'='"	"0.05"	"nM"	"10.30"	""	""	"UO_0000065"	"20.58"	"0.40"	"5.24"	"13.92"	"0"	"CHEMBL807969"	"Displacement of [125 I]-Tyr8 SP from the cloned human Tachykinin receptor 1 expressed in CHO cells"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"CHO"	"None"	""	""	""	"CHEMBL249"	"Neurokinin 1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1129245"	"1"	"Scientific Literature"	"J Med Chem"	"1996"	"CHEMBL3308072"	""	""	""	"0.05"
"CHEMBL40455"	""	"None"	"413.57"	"0"	"4.70"	"41"	"Cc1cc(C)cc(C(=O)N2CC[C@H](NCc3ccncc3)C[C@H]2Cc2ccccc2)c1"	"IC50"	"'='"	"210.0"	"nM"	"6.68"	""	""	"UO_0000065"	"16.15"	"0.29"	"1.98"	"14.76"	"0"	"CHEMBL750227"	"Inhibition of [3H]-SP radioligand binding to NK1 receptor from bovine retina"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL249"	"Neurokinin 1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1129766"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"1996"	"None"	""	""	""	"210.0"
"CHEMBL59913"	""	"None"	"508.66"	"2"	"5.82"	"14"	"CCCCCN(CCCCC)C(=O)N1CCN(C(=O)N(c2ccccc2)c2ccccc2)[C@@H](C(=O)O)C1"	"IC50"	"'='"	"3000.0"	"nM"	"5.52"	""	""	"UO_0000065"	"10.86"	"0.20"	"-0.30"	"6.54"	"0"	"CHEMBL751900"	"Inhibition of [125I]-Substance P binding to human NK1 receptors in CHO cells"	"B"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"CHO"	"None"	""	""	""	"CHEMBL249"	"Neurokinin 1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1127162"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"1993"	"CHEMBL3308072"	""	""	""	"3000.0"
"CHEMBL418438"	""	"None"	"470.02"	"1"	"5.89"	"23"	"O=C(c1cccc(Cl)c1)N1CC[C@H](NCc2ccnc3ccccc23)C[C@H]1Cc1ccccc1"	"IC50"	"'='"	"54.0"	"nM"	"7.27"	""	""	"UO_0000065"	"15.46"	"0.29"	"1.38"	"16.07"	"0"	"CHEMBL750227"	"Inhibition of [3H]-SP radioligand binding to NK1 receptor from bovine retina"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL249"	"Neurokinin 1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1129766"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"1996"	"None"	""	""	""	"54.0"
"CHEMBL332284"	""	"None"	"417.39"	"1"	"5.91"	"10"	"FC(F)(F)c1cc(COCC2(c3ccccc3)CCCCN2)cc(C(F)(F)F)c1"	"IC50"	"'='"	"1.0"	"nM"	"9.00"	""	""	"UO_0000065"	"21.56"	"0.42"	"3.09"	"42.33"	"1"	"CHEMBL807961"	"Binding affinity at human tachykinin receptor 1 by measuring its ability to displace [125I]-labeled substance P from the cloned receptor expressed in CHO cells."	"B"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"CHO"	"None"	""	""	""	"CHEMBL249"	"Neurokinin 1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1131180"	"1"	"Scientific Literature"	"J Med Chem"	"1998"	"CHEMBL3308072"	""	""	""	"1.0"
"CHEMBL1057"	""	"None"	"332.31"	"0"	"3.67"	"FLUORESCEIN"	"O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21"	"IC50"	""	""	""	""	""	"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)"	""	""	""	""	""	"0"	"CHEMBL1909113"	"DRUGMATRIX: Tachykinin NK1 radioligand binding (ligand: [3H] Substance P)"	"B"	"BAO_0000249"	"cell membrane format"	"None"	"None"	"None"	"CHO"	"Membrane"	""	""	""	"CHEMBL249"	"Neurokinin 1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1909046"	"15"	"DrugMatrix"	""	""	"CHEMBL3308072"	""	""	""	""
"CHEMBL143775"	""	"None"	"521.55"	"2"	"7.52"	"30"	"FC(F)(F)c1cc(COCC2(c3ccccc3)CCN(CCc3ccccc3)CC2)cc(C(F)(F)F)c1"	"IC50"	"'='"	"6.9"	"nM"	"8.16"	""	""	"UO_0000065"	"15.65"	"0.30"	"0.64"	"65.45"	"0"	"CHEMBL807961"	"Binding affinity at human tachykinin receptor 1 by measuring its ability to displace [125I]-labeled substance P from the cloned receptor expressed in CHO cells."	"B"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"CHO"	"None"	""	""	""	"CHEMBL249"	"Neurokinin 1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1131180"	"1"	"Scientific Literature"	"J Med Chem"	"1998"	"CHEMBL3308072"	""	""	""	"6.9"
"CHEMBL141994"	""	"None"	"374.32"	"0"	"4.60"	"20"	"Cc1cc(Br)cc(COCC2(c3ccccc3)CCNCC2)c1"	"IC50"	"'='"	"2.9"	"nM"	"8.54"	""	""	"UO_0000065"	"22.81"	"0.51"	"3.94"	"40.16"	"0"	"CHEMBL807961"	"Binding affinity at human tachykinin receptor 1 by measuring its ability to displace [125I]-labeled substance P from the cloned receptor expressed in CHO cells."	"B"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"CHO"	"None"	""	""	""	"CHEMBL249"	"Neurokinin 1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1131180"	"1"	"Scientific Literature"	"J Med Chem"	"1998"	"CHEMBL3308072"	""	""	""	"2.9"
"CHEMBL93184"	""	"None"	"321.42"	"0"	"3.97"	"13"	"COc1ccccc1C1=CC2(CCCNC2c2ccccc2)OC1"	"IC50"	"'='"	"49.0"	"nM"	"7.31"	""	""	"UO_0000065"	"22.74"	"0.42"	"3.34"	"23.97"	"0"	"CHEMBL807963"	"Displacement of [125I]-labeled substance P from the cloned human Tachykinin receptor 1 expressed in CHO cells"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"CHO"	"None"	""	""	""	"CHEMBL249"	"Neurokinin 1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1135347"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2002"	"CHEMBL3308072"	""	""	""	"49.0"
