"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL1807302";"";"None";"716.81";"2";"6.70";"21";"CCc1cccc(CC)c1NC(=O)c1nn(C)c2c1CCc1cnc(Nc3ccc(C(=O)N4CCC[C@H]4CN4CCCC4)cc3OC(F)(F)F)nc1-2";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1809662";"Inhibition of Aur-A assessed as [33P]-gamma-ATP incorporation into substrate by gamma counting";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4722";"Serine/threonine-protein kinase Aurora-A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1806399";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";"";"";"10.0"
"CHEMBL1824539";"";"None";"282.30";"0";"2.28";"9";"COc1ccc(CNC(=O)Nc2cc(C#N)ccn2)cc1";"IC50";"'>'";"100000000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1828476";"Inhibition of human AURKA activity using Ser/Thr 1 peptide as substrate by FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4722";"Serine/threonine-protein kinase Aurora-A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1821663";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";"";"";"100.0"
"CHEMBL1830674";"";"None";"445.93";"1";"5.55";"4g";"O=S(=O)(c1ccccc1)c1cnc2cc(-c3ccccc3)nn2c1-c1ccc(Cl)cc1";"IC50";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL1831496";"Inhibition of GST-tagged Aurora A kinase expressed in insect cells assessed as inhibition of [33P]gamma-ATP incorporation in substrate after 60 mins by scintillation counting";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4722";"Serine/threonine-protein kinase Aurora-A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1828621";"1";"Scientific Literature";"Eur J Med Chem";"2011";"None";"";"";"";""
"CHEMBL1830677";"";"None";"385.45";"0";"4.38";"8a";"O=S(=O)(c1ccccc1)c1cnc2nc3ccccc3n2c1-c1ccccc1";"IC50";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL1831496";"Inhibition of GST-tagged Aurora A kinase expressed in insect cells assessed as inhibition of [33P]gamma-ATP incorporation in substrate after 60 mins by scintillation counting";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4722";"Serine/threonine-protein kinase Aurora-A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1828621";"1";"Scientific Literature";"Eur J Med Chem";"2011";"None";"";"";"";""
"CHEMBL2012404";"";"None";"462.56";"0";"2.57";"8";"CN(C)C(=O)[C@@H]1CCCN1C(=O)c1cc(Nc2ncc3cnn([C@@H]4C[C@H]5C[C@H]5C4)c3n2)cn1C";"IC50";"'='";"19.0";"nM";"7.72";"";"";"UO_0000065";"16.69";"0.31";"5.15";"7.63";"0";"CHEMBL2013811";"Inhibition of aurora A kinase";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4722";"Serine/threonine-protein kinase Aurora-A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2010660";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"0.019"
"CHEMBL2029911";"";"None";"501.64";"1";"3.73";"23c";"Cc1c(-c2cc3cnc(Nc4cc(C(=O)N5CCN(C)CC5)n(C)c4)nc3n2C2CCCC2)cnn1C";"IC50";"'='";"2.0";"nM";"8.70";"";"";"UO_0000065";"17.34";"0.32";"4.97";"9.77";"0";"CHEMBL2032821";"Inhibition of aurora A kinase";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4722";"Serine/threonine-protein kinase Aurora-A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2029209";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"0.002"
"CHEMBL3237184";"";"None";"394.48";"0";"2.76";"7m";"COc1cccc(Nc2nc(Nc3cc(C)[nH]n3)cc(N3CCN(C)CC3)n2)c1";"IC50";"'='";"22.0";"nM";"7.66";"";"";"UO_0000065";"19.41";"0.36";"4.90";"8.13";"0";"CHEMBL3243854";"Inhibition of Aurora A (unknown origin) using FAM-labeled peptide as substrate preincubated for 10 mins followed by substrate addition measured after 60 mins";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4722";"Serine/threonine-protein kinase Aurora-A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3232730";"1";"Scientific Literature";"Eur J Med Chem";"2014";"None";"";"";"";"22.0"
"CHEMBL2170416";"";"None";"364.80";"0";"3.80";"BDBM92843";"Clc1ccccc1Nc1ccnc(Nc2ccc(-c3nnn[nH]3)cc2)n1";"IC50";"'='";"3.1";"nM";"8.51";"";"371108";"UO_0000065";"23.32";"0.45";"4.71";"8.16";"1";"CHEMBL3888080";"In Vitro Aurora A Activity Assay (DiscoverX): Reactions were carried out at room temperature in 15 mM HEPES buffer (pH 7.4) containing 20 mM NaCl, 1 mM EGTA, 0.02% Tween 20, 10 mM MgCl2, 5% (v/v) DMSO, and 2.3 nM Aurora A Inhibitor was added to the mixture, and the reaction was initiated by the addition of 75 uM ATP and 2 mM peptide substrate. All kinetic assays were performed in 384-well plates using a Wallac Envision 2102 plate reader (Perkin Elmer).";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4722";"Serine/threonine-protein kinase Aurora-A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886566";"37";"BindingDB Patent Bioactivity Data";"";"2016";"None";"";"";"";"3.1"
"CHEMBL3954884";"";"None";"374.32";"0";"4.68";"BDBM209954";"O=C(O)c1ccccc1Nc1nccc(Nc2cccc(C(F)(F)F)c2)n1";"IC50";"'='";"25700.0";"nM";"4.59";"";"371116";"UO_0000065";"12.26";"0.23";"-0.09";"5.27";"0";"CHEMBL3888080";"In Vitro Aurora A Activity Assay (DiscoverX): Reactions were carried out at room temperature in 15 mM HEPES buffer (pH 7.4) containing 20 mM NaCl, 1 mM EGTA, 0.02% Tween 20, 10 mM MgCl2, 5% (v/v) DMSO, and 2.3 nM Aurora A Inhibitor was added to the mixture, and the reaction was initiated by the addition of 75 uM ATP and 2 mM peptide substrate. All kinetic assays were performed in 384-well plates using a Wallac Envision 2102 plate reader (Perkin Elmer).";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4722";"Serine/threonine-protein kinase Aurora-A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886566";"37";"BindingDB Patent Bioactivity Data";"";"2016";"None";"";"";"";"25700.0"
"CHEMBL2170440";"";"None";"331.34";"0";"3.53";"BDBM87055";"N#Cc1ccccc1Nc1ccnc(Nc2ccc(C(=O)O)cc2)n1";"IC50";"'='";"43.0";"nM";"7.37";"";"371176";"UO_0000065";"22.23";"0.40";"3.84";"6.64";"1";"CHEMBL3888083";"Protein Crystallography Inhibitory Activity Assay: Aurora A was exchanged into 50 mM phosphate buffer (pH 7.4) including 1 mM DTT via PD-10 columns and was concentrated to 20 mg mL-1 using Amicon Ultra-4 10K centrifugal devices (Millipore; Billerica, Mass.). Aurora A crystals were grown using sitting drop vapor diffusion at 18° C. from a 1:1 volume ratio of Aurora A and reservoir solution (200 mM sodium tartrate/20% polyethylene glycol 3350 for the DFG-in inhibitors or 10% Tacsimate/20% polyethylene glycol 3350 for the DFG-out inhibitors) with a final inhibitor concentration of 1 mM. Crystals appeared after two days and were allowed to grow for another 2 days. For data collection, crystals were harvested in a cryoprotectant mixture consisting of the respective reservoir composition including 1 mM inhibitor, 50 mM phosphate pH (7.4) and 25% (v/v) ethylene glycol.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4722";"Serine/threonine-protein kinase Aurora-A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886566";"37";"BindingDB Patent Bioactivity Data";"";"2016";"None";"";"";"";"43.0"
"CHEMBL572878";"TOZASERTIB";"2.0";"464.60";"0";"3.50";"BDBM50004205";"Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1";"IC50";"'='";"2.8";"nM";"8.55";"";"371190";"UO_0000065";"18.41";"0.35";"5.05";"8.38";"0";"CHEMBL3888084";"Isothermal titration calorimetry (ITC): The binding of inhibitors to Aurora A kinase was analyzed with a MicroCal iTC200 titration calorimeter (GE Healthcare, Piscataway, N.J.). The protein was exchanged into 100 mM Na/K phosphate (pH 7.4) via PD-10 columns (GE Healthcare Lifesciences; Piscataway, N.J.). A total of 18 aliquots (2.2 uL each) of the protein solution (125 uM) were injected into 200 μL of the inhibitor solution (10 uM) at 25° C. The ITC cell mixture was constantly stirred at 1000 rpm and recorded for 120 seconds between injections. Heat generation due to dilution (blank) was determined in a separate experiment by diluting protein into buffer. The corrected heat values were fitted using a nonlinear least square curve-fitting algorithm (Microcal Origin 7.0) to obtain the stoichiometry (n), binding constant (Ka, Kd).";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4722";"Serine/threonine-protein kinase Aurora-A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886566";"37";"BindingDB Patent Bioactivity Data";"";"2016";"None";"";"";"";"2.8"
"CHEMBL1830680";"";"None";"336.38";"0";"2.62";"10a";"O=S(=O)(c1ccccc1)c1cnc2ncnn2c1-c1ccccc1";"IC50";"'='";"104.0";"nM";"6.98";"";"";"UO_0000065";"20.76";"0.40";"4.36";"9.04";"0";"CHEMBL1831496";"Inhibition of GST-tagged Aurora A kinase expressed in insect cells assessed as inhibition of [33P]gamma-ATP incorporation in substrate after 60 mins by scintillation counting";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4722";"Serine/threonine-protein kinase Aurora-A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1828621";"1";"Scientific Literature";"Eur J Med Chem";"2011";"None";"";"";"";"0.104"
"CHEMBL486095";"";"None";"425.51";"1";"5.20";"4i";"Cc1ccc(-c2c(S(=O)(=O)c3ccccc3)cnc3cc(-c4ccccc4)nn23)cc1";"IC50";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL1831496";"Inhibition of GST-tagged Aurora A kinase expressed in insect cells assessed as inhibition of [33P]gamma-ATP incorporation in substrate after 60 mins by scintillation counting";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4722";"Serine/threonine-protein kinase Aurora-A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1828621";"1";"Scientific Literature";"Eur J Med Chem";"2011";"None";"";"";"";""
"CHEMBL223360";"LINIFANIB";"3.0";"375.41";"0";"4.90";"ABT-869, 4";"Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1";"IC50";"'='";"760.0";"nM";"6.12";"";"";"UO_0000065";"16.30";"0.30";"1.22";"6.39";"0";"CHEMBL1810160";"Inhibition of recombinant GST-tagged Aurora A expressed in Sf9 insect cells after 90 mins by Kinase-Glo assay";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Sf9";"None";"";"";"";"CHEMBL4722";"Serine/threonine-protein kinase Aurora-A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1806486";"1";"Scientific Literature";"Bioorg Med Chem";"2011";"CHEMBL3308860";"";"";"";"0.76"
"CHEMBL1643149";"ASN03776845";"None";"510.66";"1";"4.24";"ASN 0377 6845";"CCOc1ccc(NC(=S)N(CCN(CC)CC)Cc2cc3cc4c(cc3[nH]c2=O)OCCO4)cc1";"IC50";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL1647308";"Inhibition of human recombinant His-tagged Aurora A kinase expressed in insect cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4722";"Serine/threonine-protein kinase Aurora-A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1641488";"1";"Scientific Literature";"Bioorg Med Chem";"2011";"None";"";"";"";""
"CHEMBL1643151";"";"None";"430.57";"1";"6.35";"E018-1724";"CCCOc1ccc(CNC(=O)c2[nH]c3cc(C)ccc3c2Sc2ccccc2)cc1";"IC50";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL1647308";"Inhibition of human recombinant His-tagged Aurora A kinase expressed in insect cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4722";"Serine/threonine-protein kinase Aurora-A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1641488";"1";"Scientific Literature";"Bioorg Med Chem";"2011";"None";"";"";"";""
