"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL411903";"";"None";"459.41";"0";"4.80";"1n";"Nc1ncnc2c1N=C(c1ccc(NC(=O)Nc3cc(C(F)(F)F)ccc3F)cc1)CCN2";"IC50";"'='";"2.0";"nM";"8.70";"";"";"UO_0000065";"18.94";"0.36";"3.90";"7.41";"0";"CHEMBL928169";"Inhibition of Flt3";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1974";"Tyrosine-protein kinase receptor FLT3";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144750";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";"";"0.002"
"CHEMBL3656375";"";"None";"456.60";"0";"3.98";"BDBM119364";"NCCC(Nc1cccc(-c2cnc3c(N[C@H]4CC[C@H](N)CC4)nccn23)n1)c1ccccc1";"IC50";"'='";"3.0";"nM";"8.52";"";"246100";"UO_0000065";"18.67";"0.34";"4.54";"7.15";"0";"CHEMBL3705075";"Kinase Assay: FLT3 kinase assay was obtained from Claiper Life Sciences (Catalog #200-0423). The assay was carried out with human recombinant FLT3 (0.287 nM), fluoresce in labeled peptide substrate (with a peptide sequence of EAIYAAPFAKKK, 1.5 μM) and test compounds (in serial dilution) using 384-well plates, quantified by Caliper technology. Kinase reaction was performed in 100 mM HEPES, pH 7.5, 4% DMSO, 0.003% Brij-35, 0.004% tween, 10 mM MgCl2, and 100 μM ATP (for IC50 determination), incubated at 28° C. for 90 minutes. After incubation, the reaction product was analyzed by electrophoretic mobility shift run on Caliper by manufacturer's protocol.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1974";"Tyrosine-protein kinase receptor FLT3";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3639206";"37";"BindingDB Patent Bioactivity Data";"";"2014";"None";"";"";"";"3.0"
"CHEMBL3656383";"";"None";"464.96";"0";"3.20";"BDBM119372";"Clc1cccc(CNc2nccc(-c3cnc4c(NCCN5CCOCC5)nccn34)n2)c1";"IC50";"'='";"19.0";"nM";"7.72";"";"246108";"UO_0000065";"16.61";"0.32";"4.52";"8.35";"0";"CHEMBL3705075";"Kinase Assay: FLT3 kinase assay was obtained from Claiper Life Sciences (Catalog #200-0423). The assay was carried out with human recombinant FLT3 (0.287 nM), fluoresce in labeled peptide substrate (with a peptide sequence of EAIYAAPFAKKK, 1.5 μM) and test compounds (in serial dilution) using 384-well plates, quantified by Caliper technology. Kinase reaction was performed in 100 mM HEPES, pH 7.5, 4% DMSO, 0.003% Brij-35, 0.004% tween, 10 mM MgCl2, and 100 μM ATP (for IC50 determination), incubated at 28° C. for 90 minutes. After incubation, the reaction product was analyzed by electrophoretic mobility shift run on Caliper by manufacturer's protocol.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1974";"Tyrosine-protein kinase receptor FLT3";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3639206";"37";"BindingDB Patent Bioactivity Data";"";"2014";"None";"";"";"";"19.0"
"CHEMBL3656385";"";"None";"493.02";"0";"3.30";"BDBM119374";"NCC(Nc1cccc(-c2cnc3c(NCCN4CCOCC4)nccn23)n1)c1cccc(Cl)c1";"IC50";"'<'";"5.0";"nM";"";"";"246110";"UO_0000065";"";"";"";"";"0";"CHEMBL3705075";"Kinase Assay: FLT3 kinase assay was obtained from Claiper Life Sciences (Catalog #200-0423). The assay was carried out with human recombinant FLT3 (0.287 nM), fluoresce in labeled peptide substrate (with a peptide sequence of EAIYAAPFAKKK, 1.5 μM) and test compounds (in serial dilution) using 384-well plates, quantified by Caliper technology. Kinase reaction was performed in 100 mM HEPES, pH 7.5, 4% DMSO, 0.003% Brij-35, 0.004% tween, 10 mM MgCl2, and 100 μM ATP (for IC50 determination), incubated at 28° C. for 90 minutes. After incubation, the reaction product was analyzed by electrophoretic mobility shift run on Caliper by manufacturer's protocol.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1974";"Tyrosine-protein kinase receptor FLT3";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3639206";"37";"BindingDB Patent Bioactivity Data";"";"2014";"None";"";"";"";"5.0"
"CHEMBL3237447";"";"None";"439.53";"0";"3.51";"6";"N#Cc1nccc2c3cnc(Nc4ccc(N5CCNCC5)cn4)nc3n(C3CCCC3)c12";"IC50";"'='";"46.0";"nM";"7.34";"";"";"UO_0000065";"16.69";"0.30";"3.83";"6.82";"0";"CHEMBL3240326";"Inhibition of GST-fused human FLT3 cytoplasmic domain (amino acids 564 to 993) using Ulight-JAK1 as substrate after 1 hr by TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1974";"Tyrosine-protein kinase receptor FLT3";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3232894";"1";"Scientific Literature";"J Med Chem";"2014";"None";"";"";"";"0.046"
"CHEMBL3237704";"";"None";"456.60";"0";"4.67";"13";"CC1(C)CCC(n2c3cnccc3c3cnc(Nc4ccc(N5CCNCC5)cn4)nc32)CC1";"IC50";"'='";"17.0";"nM";"7.77";"";"";"UO_0000065";"17.02";"0.31";"3.10";"9.27";"0";"CHEMBL3240326";"Inhibition of GST-fused human FLT3 cytoplasmic domain (amino acids 564 to 993) using Ulight-JAK1 as substrate after 1 hr by TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1974";"Tyrosine-protein kinase receptor FLT3";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3232894";"1";"Scientific Literature";"J Med Chem";"2014";"None";"";"";"";"0.017"
"CHEMBL3237707";"";"None";"443.56";"0";"3.67";"16";"C[C@H]1CC[C@H](n2c3cnccc3c3cnc(Nc4ccc(N5CCNCC5)nn4)nc32)CC1";"IC50";"'='";"6.0";"nM";"8.22";"";"";"UO_0000065";"18.54";"0.34";"4.55";"8.50";"0";"CHEMBL3240326";"Inhibition of GST-fused human FLT3 cytoplasmic domain (amino acids 564 to 993) using Ulight-JAK1 as substrate after 1 hr by TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1974";"Tyrosine-protein kinase receptor FLT3";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3232894";"1";"Scientific Literature";"J Med Chem";"2014";"None";"";"";"";"0.006"
"CHEMBL3237717";"";"None";"510.65";"2";"5.12";"26";"C[C@H]1CC[C@H](n2c3cnccc3c3cnc(Nc4ccc(N5CCC6(CCC(=O)N6)CC5)cn4)nc32)CC1";"IC50";"'='";"3.0";"nM";"8.52";"";"";"UO_0000065";"16.69";"0.31";"3.40";"8.45";"0";"CHEMBL3240326";"Inhibition of GST-fused human FLT3 cytoplasmic domain (amino acids 564 to 993) using Ulight-JAK1 as substrate after 1 hr by TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1974";"Tyrosine-protein kinase receptor FLT3";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3232894";"1";"Scientific Literature";"J Med Chem";"2014";"None";"";"";"";"0.003"
"CHEMBL3237718";"";"None";"540.67";"2";"5.13";"27";"COc1nc(Nc2ncc3c4ccncc4n([C@H]4CC[C@H](C)CC4)c3n2)ccc1N1CCC2(CCC(=O)N2)CC1";"IC50";"'='";"0.6";"nM";"9.22";"";"";"UO_0000065";"17.06";"0.31";"4.09";"8.38";"0";"CHEMBL3240326";"Inhibition of GST-fused human FLT3 cytoplasmic domain (amino acids 564 to 993) using Ulight-JAK1 as substrate after 1 hr by TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1974";"Tyrosine-protein kinase receptor FLT3";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3232894";"1";"Scientific Literature";"J Med Chem";"2014";"None";"";"";"";"0.0006"
"CHEMBL4754609";"";"None";"415.88";"1";"5.34";"2";"CN(Cc1ccc2nccn2c1)c1nnc(-c2ccc(-c3ccccc3Cl)cc2)o1";"IC50";"'='";"15848.93";"nM";"4.80";"";"";"UO_0000065";"11.54";"0.22";"-0.54";"8.07";"1";"CHEMBL4828159";"Inhibition of FLT3 (unknown origin) by LC-MS analysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1974";"Tyrosine-protein kinase receptor FLT3";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4825753";"1";"Scientific Literature";"J Med Chem";"2021";"None";"";"INHIBITOR";"";"4.8"
